,0
2025-04-01,2.239942922937214
2025-05-01,2.0987529530639932
2025-06-01,1.9647854292232394
2025-07-01,1.9097814984628652
2025-08-01,2.150359658002998
2025-09-01,2.3164246891189424
2025-10-01,2.071039054728435
2025-11-01,1.9072841405251972
2025-12-01,1.842571293215313
2026-01-01,1.9538312632495884
2026-02-01,2.0355249809363967
2026-03-01,1.8950436480701156
2026-04-01,2.1237044621031487
2026-05-01,1.9090553483483466
2026-06-01,1.4943943002848457
2026-07-01,1.8776045719797547
2026-08-01,2.237564193840404
2026-09-01,2.4160363068080972
2026-10-01,2.5086939388321294
2026-11-01,2.778458216928418
2026-12-01,3.2009173905795256
2027-01-01,3.3867508003243825
2027-02-01,3.5614573181924225
2027-03-01,3.7495697836455495
